ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0046	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML
P0061	OXACILINA - 1 G INY  - POLVO PARA SOLUCION INYECTABLE - OXACILINA
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0062	AMOXICILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL - AMOXICILINA
P0063	PREDNISONA - 5 MG/5 ML SOL 120 ML + DOSIFICADOR - SOLUCION ORAL - PREDNISONA
P0064	ALPRAZOLAM - 0.5 MG
P0036	ALPROSTADIL - 500 MCG/ML - SOLUCION INYECTABLE - ALPOSCAD
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0065	AMOXICILINA - 250 MG/5 ML SUS 60 ML - POLVO PARA SUSPENSION ORAL - AMOXICILINA
P0065	AMOXICILINA - 250 MG/5 ML SUS 60 ML - POLVO PARA SUSPENSION ORAL - AMOXICILINA
P0066	AMOXICILINA - 250 MG/5 ML SUS 60 ML - POLVO PARA SUSPENSION ORAL
P0066	AMOXICILINA - 250 MG/5 ML SUS 60 ML - POLVO PARA SUSPENSION ORAL
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0068	ATORVASTATINA - 20 MG TB - TABLETA RECUBIERTA - ATORVASTATINA
P0069	METOTREXATO - 2.5 MG - TABLETA - METOTREXATO
P0070	LABETALOL - 20 MG/4 ML - SOLUCION INYECTABLE - LABESIN
